name,team,position,games_played,minutes_per_game,points,rebounds,assists,steals,blocks,field_goal_pct,three_point_pct,free_throw_pct,fantasy_value,fantasy_rank,player_id,draft_status,draft_price,draft_team
Jordan Goodwin,LAL,PG,29.0,18.7,5.6,3.9,1.4,1.0,0.4,0.438,0.382,0.818,16.13743333333333,321,321269,available,0,
Ben Simmons,BRK,PG,33.0,25.0,6.2,5.2,6.9,0.8,0.5,0.547,0.0,0.692,16.115000000000002,322,671713,available,0,
Bol Bol,PHO,PF,36.0,12.4,6.8,2.9,0.6,0.3,0.7,0.525,0.344,0.769,16.089599999999997,323,184767,available,0,
Collin Gillespie,PHO,PG,33.0,14.0,5.9,2.4,2.4,0.6,0.2,0.43,0.433,0.864,15.90933333333333,324,788326,available,0,
Tosan Evbuomwan,BRK,SF,28.0,23.8,9.5,4.3,2.0,0.9,0.4,0.427,0.312,0.753,15.800399999999994,325,931774,available,0,
Jeremiah Robinson-Earl,NOP,PF,66.0,18.8,6.3,4.8,1.3,0.6,0.1,0.455,0.341,0.836,15.784133333333333,326,197819,available,0,
Haywood Highsmith,MIA,SF,74.0,24.6,6.5,3.4,1.5,0.9,0.5,0.458,0.382,0.721,15.701599999999997,327,842445,available,0,
Caleb Martin,PHI,SF,31.0,30.4,9.1,4.4,2.2,1.1,0.6,0.435,0.379,0.622,15.646133333333331,328,672065,available,0,
Jeff Dowtin Jr.,PHI,PG,41.0,15.1,7.0,1.5,1.9,0.6,0.3,0.487,0.4,0.733,15.628466666666666,329,406018,available,0,
Cody Martin,CHO,SF,39.0,24.8,7.8,4.5,2.3,1.1,0.7,0.433,0.323,0.694,15.535866666666658,330,526232,available,0,
Orlando Robinson,2TM,C,44.0,17.5,6.9,5.0,1.8,0.4,0.4,0.444,0.327,0.771,15.509166666666665,331,934180,available,0,
Johnny Juzang,UTA,SG,64.0,19.8,8.9,2.9,1.1,0.6,0.1,0.429,0.376,0.849,15.4832,332,919920,available,0,
Seth Curry,CHO,SG,68.0,15.6,6.5,1.7,0.9,0.4,0.1,0.478,0.456,0.846,15.461599999999999,333,951670,available,0,
Shake Milton,BRK,SG,27.0,18.2,7.4,1.9,2.4,0.6,0.0,0.465,0.389,0.758,15.407599999999999,334,827177,available,0,
Dorian Finney-Smith,LAL,PF,43.0,28.8,7.9,3.6,1.4,0.9,0.3,0.442,0.398,0.714,15.395199999999997,335,686789,available,0,
Bruce Brown,2TM,PG,41.0,22.5,8.3,4.0,2.0,0.8,0.2,0.421,0.333,0.815,15.387499999999998,336,833423,available,0,
Dennis Schröder,DET,PG,28.0,25.2,10.8,2.6,5.3,0.5,0.2,0.378,0.302,0.833,15.351599999999996,337,31850,available,0,
Kyle Kuzma,WAS,PF,32.0,27.7,15.2,5.8,2.5,0.6,0.2,0.42,0.281,0.602,15.3464,338,178418,available,0,
Kris Dunn,LAC,PG,74.0,24.1,6.4,3.4,2.8,1.7,0.4,0.439,0.335,0.682,15.324533333333335,339,388852,available,0,
Cam Whitmore,HOU,SF,51.0,16.2,9.4,3.0,1.0,0.6,0.3,0.444,0.355,0.75,15.309999999999999,340,631917,available,0,
Kenrich Williams,OKC,PF,69.0,16.4,6.3,3.5,1.4,0.6,0.1,0.483,0.386,0.718,15.2412,341,553143,available,0,
Precious Achiuwa,NYK,C,57.0,20.5,6.6,5.6,1.0,0.8,0.7,0.502,0.278,0.594,15.06283333333333,342,478913,available,0,
Andre Drummond,PHI,C,40.0,18.8,7.3,7.8,0.9,1.0,0.5,0.5,0.15,0.622,14.996266666666664,343,317593,available,0,
Dwight Powell,DAL,C,55.0,10.0,2.1,2.1,1.0,0.3,0.4,0.689,0.4,0.651,14.979999999999997,344,686449,available,0,
Kevin Huerter,2TM,SG,69.0,24.3,9.9,3.0,2.3,1.0,0.3,0.425,0.338,0.714,14.912699999999996,345,453948,available,0,
Jared Butler,WAS,PG,32.0,11.3,6.9,1.3,2.6,0.4,0.2,0.483,0.366,0.778,14.834233333333334,346,190026,available,0,
Tim Hardaway Jr.,DET,SG,77.0,28.0,11.0,2.4,1.6,0.5,0.1,0.406,0.368,0.855,14.813333333333336,347,913561,available,0,
Josh Okogie,CHO,SG,15.0,18.3,8.9,2.7,1.3,1.8,0.5,0.388,0.32,0.774,14.8107,348,856059,available,0,
Sam Merrill,CLE,SG,71.0,19.7,7.2,2.2,1.5,0.7,0.2,0.406,0.372,0.966,14.8097,349,368129,available,0,
Marcus Sasser,DET,PG,57.0,14.2,6.6,1.2,2.3,0.6,0.1,0.463,0.382,0.843,14.792266666666665,350,417296,available,0,
Marcus Smart,2TM,PG,34.0,20.0,9.0,2.1,3.2,1.1,0.3,0.393,0.348,0.761,14.773333333333332,351,374012,available,0,
A.J. Green,MIL,SG,73.0,22.7,7.4,2.4,1.5,0.5,0.1,0.429,0.427,0.815,14.746166666666664,352,583530,available,0,
Jarace Walker,IND,PF,75.0,15.8,6.1,3.1,1.5,0.7,0.3,0.472,0.405,0.667,14.706599999999998,353,395098,available,0,
Lonzo Ball,CHI,PG,35.0,22.2,7.6,3.4,3.3,1.3,0.5,0.366,0.344,0.815,14.703999999999994,354,774121,available,0,
Dalton Knecht,LAL,SF,78.0,19.2,9.1,2.8,0.8,0.3,0.1,0.461,0.376,0.762,14.6104,355,661784,available,0,
Josh Okogie,2TM,SG,40.0,15.6,7.1,2.8,0.8,1.2,0.5,0.443,0.348,0.741,14.565599999999995,356,856059,available,0,
Sandro Mamukelashvili,SAS,PF,61.0,11.2,6.3,3.1,0.8,0.4,0.3,0.502,0.373,0.741,14.413866666666664,357,65074,available,0,
Josh Okogie,PHO,SG,25.0,14.0,6.0,2.9,0.6,0.8,0.4,0.491,0.381,0.688,14.278666666666663,358,856059,available,0,
Javonte Green,NOP,SG,50.0,21.8,5.8,3.6,0.9,1.1,0.6,0.446,0.352,0.758,14.2374,359,956467,available,0,
Jock Landale,HOU,C,42.0,11.9,4.8,3.3,0.9,0.3,0.2,0.533,0.423,0.675,14.208166666666665,360,986078,available,0,
Bruce Brown,NOP,PG,23.0,24.7,8.2,4.2,2.4,0.7,0.3,0.41,0.356,0.75,14.200166666666657,361,833423,available,0,
Quenton Jackson,IND,PG,28.0,13.6,5.8,1.6,1.9,0.8,0.2,0.475,0.375,0.775,14.181999999999999,362,272435,available,0,
Nick Smith Jr.,CHO,SG,60.0,22.8,9.9,2.1,2.4,0.3,0.1,0.391,0.34,0.935,14.179999999999998,363,690838,available,0,
Jamison Battle,TOR,SF,59.0,17.7,7.1,2.7,0.9,0.3,0.2,0.429,0.405,0.889,14.175299999999998,364,781092,available,0,
Keon Johnson,BRK,SG,79.0,24.4,10.6,3.8,2.2,1.0,0.4,0.389,0.314,0.77,14.160666666666666,365,72193,available,0,
Isaiah Collier,UTA,PG,71.0,25.9,8.7,3.3,6.3,0.9,0.2,0.422,0.249,0.682,14.152133333333332,366,347808,available,0,
Clint Capela,ATL,C,55.0,21.4,8.9,8.5,1.1,0.6,1.0,0.559,0.0,0.536,14.015400000000003,367,366171,available,0,
Tyrese Martin,BRK,SG,60.0,21.9,8.7,3.7,2.0,0.6,0.2,0.406,0.351,0.793,14.006700000000004,368,565151,available,0,
